CMDLINE c:\users\ialrazi\powersynth\cornerstitch_dev\powercad-full\venv_64bit\scripts\python.exe powercad\recursive_suite\perf_test.py
MEM 149.078125 1571608230.4110
MEM 149.078125 1571608230.5110
MEM 149.078125 1571608230.6120
MEM 149.078125 1571608230.7120
MEM 149.078125 1571608230.8120
MEM 149.078125 1571608230.9120
MEM 149.078125 1571608231.0130
MEM 149.078125 1571608231.1130
MEM 149.078125 1571608231.2130
MEM 149.078125 1571608231.3130
MEM 149.078125 1571608231.4140
MEM 149.078125 1571608231.5150
MEM 149.078125 1571608231.6150
MEM 149.078125 1571608231.7150
MEM 149.078125 1571608231.8160
MEM 149.078125 1571608231.9160
MEM 149.078125 1571608232.0160
MEM 149.078125 1571608232.1170
MEM 149.078125 1571608232.2170
MEM 149.078125 1571608232.3170
MEM 149.078125 1571608232.4180
MEM 149.078125 1571608232.5180
MEM 149.078125 1571608232.6180
MEM 149.078125 1571608232.7190
MEM 149.078125 1571608232.8200
MEM 149.078125 1571608232.9200
MEM 149.078125 1571608233.0200
MEM 149.078125 1571608233.1200
MEM 149.078125 1571608233.2210
MEM 149.078125 1571608233.3210
MEM 149.078125 1571608233.4210
MEM 149.078125 1571608233.5210
MEM 149.078125 1571608233.6220
MEM 149.078125 1571608233.7220
MEM 149.078125 1571608233.8220
MEM 149.078125 1571608233.9230
MEM 149.078125 1571608234.0230
MEM 149.078125 1571608234.1230
MEM 149.078125 1571608234.2230
MEM 149.078125 1571608234.3240
MEM 149.078125 1571608234.4240
MEM 149.078125 1571608234.5240
MEM 149.078125 1571608234.6240
MEM 149.078125 1571608234.7250
MEM 149.078125 1571608234.8250
MEM 149.078125 1571608234.9250
MEM 149.078125 1571608235.0250
MEM 149.078125 1571608235.1260
MEM 149.078125 1571608235.2260
MEM 149.078125 1571608235.3260
MEM 149.078125 1571608235.4270
MEM 149.078125 1571608235.5270
MEM 149.078125 1571608235.6270
MEM 149.078125 1571608235.7270
MEM 149.078125 1571608235.8280
MEM 149.078125 1571608235.9280
MEM 149.078125 1571608236.0280
MEM 149.078125 1571608236.1290
MEM 149.078125 1571608236.2310
MEM 149.078125 1571608236.3310
MEM 149.078125 1571608236.4320
MEM 149.078125 1571608236.5320
MEM 149.078125 1571608236.6320
MEM 149.078125 1571608236.7330
MEM 149.078125 1571608236.8330
MEM 149.078125 1571608236.9340
MEM 149.078125 1571608237.0340
MEM 149.078125 1571608237.1350
MEM 149.078125 1571608237.2350
MEM 149.078125 1571608237.3350
MEM 149.078125 1571608237.4360
MEM 149.078125 1571608237.5360
MEM 149.078125 1571608237.6370
MEM 149.078125 1571608237.7370
MEM 149.078125 1571608237.8370
MEM 149.078125 1571608237.9370
MEM 149.078125 1571608238.0380
MEM 149.078125 1571608238.1380
MEM 149.078125 1571608238.2390
MEM 149.078125 1571608238.3390
MEM 149.078125 1571608238.4400
MEM 149.078125 1571608238.5400
MEM 149.078125 1571608238.6410
MEM 149.078125 1571608238.7410
MEM 149.078125 1571608238.8410
MEM 149.078125 1571608238.9410
MEM 149.078125 1571608239.0420
MEM 149.078125 1571608239.1430
MEM 149.078125 1571608239.2430
MEM 149.078125 1571608239.3430
MEM 149.078125 1571608239.4430
MEM 149.078125 1571608239.5440
MEM 149.078125 1571608239.6440
MEM 149.078125 1571608239.7440
MEM 149.078125 1571608239.8440
MEM 149.078125 1571608239.9450
MEM 149.078125 1571608240.0450
MEM 149.078125 1571608240.1450
MEM 149.078125 1571608240.2450
MEM 149.078125 1571608240.3460
MEM 149.078125 1571608240.4460
MEM 149.078125 1571608240.5460
MEM 149.078125 1571608240.6470
MEM 149.078125 1571608240.7470
MEM 149.078125 1571608240.8470
MEM 149.078125 1571608240.9470
MEM 149.078125 1571608241.0480
MEM 149.078125 1571608241.1480
MEM 149.078125 1571608241.2480
MEM 149.078125 1571608241.3480
MEM 149.078125 1571608241.4490
MEM 149.078125 1571608241.5490
MEM 149.078125 1571608241.6490
